Vendor,"GRAPHTEC Corporation"
Model,"GL840"
Version,"Ver1.44  "
MaxChannel,30
GSStartCH,20
WLStartCH,30
MaxLogicChannel,8
Logic/Pulse,Off,Off,Off,Off,Off,Off,Off
TempUnit,C
Sampling interval,1min
Total data points,40        
Trigger,0         
Start time,2020-11-12,16:54:32
End time,2020-11-12,17:34:12
Trigger time,2020-11-12,16:54:38
AMP settings
CH,Signal name,Amp,Input,Range,Temperature Range,Filter,Span,,Unit,Color,,,Line Width
CH1,"M1-TEMP","WV",DC,5V,,Off,+5.000,+0.000,[V],28,5,6,0
CH2,"M1-RH","WV",DC,5V,,Off,+5.000,+0.000,[V],0,13,23,0
CH3,"M2-TEMP","WV",DC,5V,,Off,+5.000,+0.000,[V],9,22,8,0
CH4,"M2-RH","WV",DC,5V,,Off,+5.000,+0.000,[V],21,0,21,0
CH5,"C-TEMP","WV",DC,5V,,Off,+5.000,+0.000,[V],28,16,2,0
CH6,"C-RH","WV",DC,5V,,Off,+5.000,+0.000,[V],5,23,30,0
CH7,"M2-SP","WV",DC,5V,,Off,+5.000,+0.000,[V],30,23,1,0
CH8,"M1-SP","WV",DC,5V,,Off,+5.000,+0.000,[V],28,0,17,0
CH9,"M1-Tp FS","WV",TEMP,TC_T,2000degC,Off,+2000.0,-200.0,[degC],17,11,7,0
CH10,"M1-Tp BS","WV",TEMP,TC_T,2000degC,Off,+2000.0,-200.0,[degC],19,27,0,0
CH11,"M2-Tp FS","WV",TEMP,TC_T,2000degC,Off,+2000.0,-200.0,[degC],28,5,6,0
CH12,"M2-Tp BS","WV",TEMP,TC_T,2000degC,Off,+2000.0,-200.0,[degC],0,13,23,0
GS1," GS1","TH",TEMP,,,Off,+100.00,-10.00,[degC],28,5,6,0
GS2," GS2","TH",RH,100%,,Off,+100.00,+0.00,[%],0,13,23,0
GS3," GS3","TH",DEW,,,Off,+100.00,-10.00,[degC],9,22,8,0
GS4," GS4","TH",ATEMP,,,Off,+100,+0,[degCh],21,0,21,0
Calc settings
CH,Left term,Operator,Right term,Scaling,Span,,Unit
Data
Number,Date&Time,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,GS1,GS2,GS3,GS4,Alarm1-10,Alarm11-20,AlarmGS,AlarmOut
        13,2020/11/12 17:06:38,  0,+ 2.920,+ 2.242,+ 2.934,+ 2.373,+ 2.984,+ 2.605,+ 2.476,+ 2.468,+  14.4,+  16.8,+  14.1,+  16.4,+ 18.77,+ 46.80,+  7.19,+     4 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        14,2020/11/12 17:07:38,  0,+ 2.923,+ 2.244,+ 2.938,+ 2.376,+ 2.984,+ 2.609,+ 2.475,+ 2.466,+  14.2,+  16.6,+  14.0,+  16.3,+ 18.77,+ 46.80,+  7.19,+     4 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        15,2020/11/12 17:08:38,  0,+ 2.927,+ 2.246,+ 2.942,+ 2.377,+ 2.987,+ 2.623,+ 2.474,+ 2.464,+  14.1,+  16.5,+  13.9,+  16.2,+ 18.77,+ 46.90,+  7.22,+     5 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        16,2020/11/12 17:09:38,  0,+ 2.930,+ 2.247,+ 2.945,+ 2.379,+ 2.987,+ 2.638,+ 2.473,+ 2.461,+  14.0,+  16.4,+  13.9,+  16.1,+ 18.77,+ 46.90,+  7.22,+     5 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        17,2020/11/12 17:10:38,  0,+ 2.934,+ 2.248,+ 2.949,+ 2.381,+ 2.986,+ 2.639,+ 2.470,+ 2.459,+  13.9,+  16.3,+  13.8,+  16.1,+ 18.77,+ 46.90,+  7.22,+     5 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        18,2020/11/12 17:11:38,  0,+ 2.937,+ 2.250,+ 2.952,+ 2.384,+ 2.988,+ 2.646,+ 2.470,+ 2.457,+  13.9,+  16.2,+  13.9,+  16.1,+ 18.77,+ 46.90,+  7.22,+     6 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        19,2020/11/12 17:12:38,  0,+ 2.941,+ 2.253,+ 2.956,+ 2.386,+ 2.990,+ 2.647,+ 2.469,+ 2.456,+  13.8,+  16.2,+  13.8,+  16.0,+ 18.77,+ 46.90,+  7.22,+     6 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        20,2020/11/12 17:13:38,  0,+ 2.944,+ 2.254,+ 2.959,+ 2.388,+ 2.991,+ 2.652,+ 2.467,+ 2.453,+  13.8,+  16.1,+  13.7,+  15.9,+ 18.77,+ 46.90,+  7.22,+     6 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        21,2020/11/12 17:14:38,  0,+ 2.948,+ 2.257,+ 2.963,+ 2.389,+ 2.991,+ 2.651,+ 2.466,+ 2.452,+  13.7,+  16.0,+  13.6,+  15.8,+ 18.77,+ 47.00,+  7.26,+     7 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        22,2020/11/12 17:15:38,  0,+ 2.951,+ 2.259,+ 2.966,+ 2.392,+ 2.990,+ 2.658,+ 2.466,+ 2.450,+  13.6,+  15.9,+  13.6,+  15.7,+ 18.77,+ 47.00,+  7.26,+     7 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        23,2020/11/12 17:16:38,  0,+ 2.954,+ 2.261,+ 2.970,+ 2.393,+ 2.990,+ 2.669,+ 2.464,+ 2.448,+  13.6,+  15.8,+  13.5,+  15.7,+ 18.77,+ 47.00,+  7.26,+     7 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        24,2020/11/12 17:17:38,  0,+ 2.958,+ 2.263,+ 2.973,+ 2.396,+ 2.989,+ 2.670,+ 2.464,+ 2.447,+  13.5,+  15.8,+  13.5,+  15.6,+ 18.77,+ 47.00,+  7.26,+     8 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
